Site,Site Name,Energy Consumption (kWh),Date
CCC0511,Caliber 0511,1977.29,2/1/2020
CCC0511,Caliber 0511,1829.22,2/2/2020
CCC0511,Caliber 0511,2377.89,2/3/2020
CCC0511,Caliber 0511,2335.67,2/4/2020
CCC0511,Caliber 0511,2353.72,2/5/2020
CCC0511,Caliber 0511,2502.54,2/6/2020
CCC0511,Caliber 0511,2616.38,2/7/2020
CCC0511,Caliber 0511,1960.11,2/8/2020
CCC0511,Caliber 0511,1483.1,2/9/2020
CCC0511,Caliber 0511,2288.47,2/10/2020
CCC0511,Caliber 0511,2436.04,2/11/2020
CCC0511,Caliber 0511,2514.47,2/12/2020
CCC0511,Caliber 0511,2552.56,2/13/2020
CCC0511,Caliber 0511,2514.35,2/14/2020
CCC0511,Caliber 0511,2019.99,2/15/2020
CCC0511,Caliber 0511,2135.3,2/16/2020
CCC0511,Caliber 0511,2549.99,2/17/2020
CCC0511,Caliber 0511,2537.44,2/18/2020
CCC0511,Caliber 0511,2468.74,2/19/2020
CCC0511,Caliber 0511,2506.02,2/20/2020
CCC0511,Caliber 0511,2432.5,2/21/2020
CCC0511,Caliber 0511,1775.87,2/22/2020
CCC0511,Caliber 0511,1715.91,2/23/2020
CCC0511,Caliber 0511,2411.98,2/24/2020
CCC0511,Caliber 0511,2426.48,2/25/2020
CCC0511,Caliber 0511,2368.67,2/26/2020
CCC0511,Caliber 0511,2387.46,2/27/2020
CCC0511,Caliber 0511,2366.22,2/28/2020
CCC0511,Caliber 0511,1907.1,2/29/2020
CCC0511,Caliber 0511,1879.25,3/1/2020
CCC0511,Caliber 0511,2392.34,3/2/2020
CCC0511,Caliber 0511,2408.44,3/3/2020
CCC0511,Caliber 0511,2300.35,3/4/2020
CCC0511,Caliber 0511,2447.21,3/5/2020
CCC0511,Caliber 0511,2300.84,3/6/2020
CCC0511,Caliber 0511,1864.82,3/7/2020
CCC0511,Caliber 0511,1831.76,3/8/2020
CCC0511,Caliber 0511,2372.09,3/9/2020
CCC0511,Caliber 0511,2545.93,3/10/2020
CCC0511,Caliber 0511,2613.62,3/11/2020
CCC0511,Caliber 0511,2780.53,3/12/2020
CCC0511,Caliber 0511,2636.12,3/13/2020
CCC0511,Caliber 0511,1745.83,3/14/2020
CCC0511,Caliber 0511,1399.28,3/15/2020
CCC0511,Caliber 0511,2331.87,3/16/2020
CCC0511,Caliber 0511,2402.4,3/17/2020
CCC0511,Caliber 0511,2497.56,3/18/2020
CCC0511,Caliber 0511,2628.44,3/19/2020
CCC0511,Caliber 0511,2385.68,3/20/2020
CCC0511,Caliber 0511,1944.44,3/21/2020
CCC0511,Caliber 0511,1900.63,3/22/2020
CCC0511,Caliber 0511,2400,3/23/2020
CCC0511,Caliber 0511,2425.7,3/24/2020
CCC0511,Caliber 0511,2358.24,3/25/2020
CCC0511,Caliber 0511,2275.31,3/26/2020
CCC0511,Caliber 0511,2334.39,3/27/2020
CCC0511,Caliber 0511,1618.67,3/28/2020
CCC0511,Caliber 0511,1734.57,3/29/2020
